title,just_watch_full_path,type,imdb_score,imdb_id,streaming_source,streaming_link,poster_url,youtube_link_ids,cast,rating,genres,runtime,director,synopsis
The Sandman,/sg/tv-show/the-sandman,SHOW,7.8,tt1751634,Netflix,http://www.netflix.com/title/81150303,/poster/284161112/{profile}/the-sandman.{format},"['83ClbRPRDXU', 'cWJTB6FPVaA', 'VBXqrBl6pEo']","[['Tom Sturridge', 'Morpheus / Dream'], ['Boyd Holbrook', 'The Corinthian'], ['Vivienne Acheampong', 'Lucienne'], ['Patton Oswalt', 'Matthew the Raven (voice)']]",92%  7.8 (51k),"Horror , Science-Fiction , Action & Adventure , Drama , Fantasy",48min,,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment."
The World of the Married,/sg/tv-show/the-world-of-the-married,SHOW,8.0,tt12042964,Netflix,http://www.netflix.com/title/81287006,/poster/202415764/{profile}/the-world-of-the-married.{format},"['MtiPX82dkus', 'EpYQkWIWeV4', '89DOh6Tj0tk']","[['Kim Hee-ae', 'Ji Seon-u'], ['Park Hae-jun', 'Lee Tae-o'], ['Han So-hee', 'Yeo Da-gyeong'], ['Park Sun-young', 'Ko Ye-rim'], ['Kim Young-min', 'Son Je-hyeok'], ['Chae Gook-hee', 'Seol Myeong-suk'], ['Lee Kyung-young', 'Yeo Byeong-gyu'], ['Kim Sun-kyung', 'Uhm Hyo-jeong'], ['Jeon Jin-seo', 'Lee Jun-yeong'], ['Lee Hak-joo', 'Park In-gyu'], ['Park Choong-seon', 'Ma Gang-seok'], ['Jung Jae-sung', 'Kong Ji-cheol'], ['Lee Mu-saeng', 'Kim Yun-gi'], ['Sim Eun-woo', 'Min Hyeon-seo']]",86%  8.0 (2k),"Drama , Romance",1h 7min,Mo Wan-il,"A turbulent twister of lies, betrayals and revenge tears apart the seemingly picture-perfect marriage between a doctor and a filmmaker."
Uncle from Another World,/sg/tv-show/uncle-from-another-world,SHOW,,,Netflix,http://www.netflix.com/title/81499847,/poster/290924562/{profile}/uncle-from-another-world.{format},"['UcePA8oFwe8', 'A3UCpef8-D0']","[['Takehito Koyasu', 'Uncle (voice)'], ['Jun Fukuyama', 'Takafumi (voice)'], ['Mikako Komatsu', 'Fujimiya (voice)'], ['Haruka Tomatsu', 'Elf (voice)'], ['Aoi Yuki', 'Mabel (voice)'], ['Aki Toyosaki', 'Alicia (voice)'], ['Kenichi Suzumura', 'Edger (voice)'], ['Nobuhiko Okamoto', 'Raiga (voice)'], ['Hisako Kanemoto', 'Sawae (voice)']]",48%,Science-Fiction,24min,,"After being in a coma for 17 years, Takafumi's middle-aged uncle suddenly wakes up speaking an unrecognizable language and wielding magical powers."
Better Call Saul,/sg/tv-show/better-call-saul,SHOW,8.9,tt3032476,Netflix,http://www.netflix.com/title/80021955,/poster/296611761/{profile}/better-call-saul.{format},"['9q4qzYrHVmI', 'HN4oydykJFc', '1ouIqZJ1elE']","[['Bob Odenkirk', 'Jimmy McGill'], ['Jonathan Banks', 'Mike Ehrmantraut'], ['Rhea Seehorn', 'Kim Wexler'], ['Patrick Fabian', 'Howard Hamlin'], ['Michael Mando', 'Nacho Varga'], ['Tony Dalton', 'Lalo Salamanca'], ['Giancarlo Esposito', 'Gustavo Fring']]",97%  8.9 (456k),"Drama , Crime",50min,,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer""."
Extraordinary Attorney Woo,/sg/tv-show/extraordinary-attorney-woo,SHOW,,,Netflix,http://www.netflix.com/title/81518991,/poster/290988477/{profile}/extraordinary-attorney-woo.{format},"['9SdYFYflVbw', 'RBcaKOFyIBY']","[['Park Eun-bin', 'Woo Young-woo'], ['Kang Tae-oh', 'Lee Jun-ho'], ['Kang Ki-young', 'Jung Myeong-seok'], ['Jeon Bae-soo', 'Woo Gwang-ho'], ['Baik Ji-won', 'Han Seon-young'], ['Jin Kyung', 'Tae Su-mi'], ['Ha Yoon-kyung', 'Choi Su-yeon'], ['Joo Jong-hyuk', 'Kwon Min-woo'], ['Joo Hyun-young', 'Dong Geu-ra-mi'], ['Im Sung-jae', 'Kim Min-sik']]",55%,Drama,1h 10min,Yoo In-sik,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.
Spider-Man: No Way Home,/sg/movie/spider-man-no-way-home,MOVIE,8.3,tt10872600,Netflix,http://www.netflix.com/title/81465707,/poster/256331954/{profile}/spider-man-no-way-home.{format},"['rt-2cxAiPJk', 'JfVOs4VSpmA', 'ZYzbalQ6Lg8', 'IjZ-HHqGiJY']","[['Tom Holland', 'Peter Parker / Spider-Man'], ['Zendaya', ""Michelle 'MJ' Jones""], ['Benedict Cumberbatch', 'Stephen Strange / Doctor Strange'], ['Jacob Batalon', 'Ned Leeds'], ['Jon Favreau', ""Harold 'Happy' Hogan""], ['Jamie Foxx', 'Max Dillon / Electro'], ['Willem Dafoe', 'Norman Osborn / Green Goblin'], ['Alfred Molina', 'Dr. Otto Octavius / Doctor Octopus'], ['Benedict Wong', 'Wong'], ['Tony Revolori', ""Eugene 'Flash' Thompson""], ['Marisa Tomei', 'May Parker'], ['Andrew Garfield', 'Peter Parker / Spider-Man'], ['Tobey Maguire', 'Peter Parker / Spider-Man'], ['Angourie Rice', 'Betty Brant'], ['Arian Moayed', 'Agent Cleary'], ['Paula Newsome', 'MIT Assistant Vice Chancellor'], ['Hannibal Buress', 'Coach Wilson'], ['Martin Starr', 'Mr. Harrington'], ['J.B. Smoove', 'Mr. Dell'], ['J.K. Simmons', 'J. Jonah Jameson'], ['Rhys Ifans', 'Dr. Curt Connors / The Lizard'], ['Charlie Cox', 'Matt Murdock'], ['Thomas Haden Church', 'Flint Marko / Sandman'], ['Haroon Kahn', 'Apprentice'], ['Emily Fong', 'Apprentice'], ['Mary Rivera', ""Ned's Lola""], ['Rudy Eisenzopf', 'Arena Bystander'], ['Kathleen Cardoso', 'Arena Bystander'], ['Jonathan Sam', 'Arena Bystander'], ['Andrew Dunlap', 'Dad in Car'], ['Ben VanderMey', 'Man in Car'], ['Zany Dunlap', 'Mom in Car'], ['B. Clutch Dunlap', 'Kid in Car'], ['Minnah Dunlap', 'Kid in Car'], ['Gary Weeks', 'Agent Foster'], ['Gregory Konow', 'Donut Shop Boss'], ['Carol Anne Dines', 'Donut Shop Waitress'], ['Anisa Nyell Johnson', 'School Security Guard'], ['Willie Burton', ""May's Neighbor""], ['Mallory Hoff', 'Reporter'], ['Greg Clarkson', 'Reporter'], ['Regina Ting Chen', 'Reporter'], ['Robert Mitchel Owenby', 'Daily Bugle Lackey'], ['Glenn Keogh', 'British Reporter'], ['Paris Benjamin', 'British Anchor'], ['Jwaundace Candece', 'Damage Control Agent'], ['Taylor St. Clair', 'Protestor'], ['Gabriella Cila', 'Crowd Member'], ['Darnell Appling', 'Crowd Member'], ['Rolando Fernandez', 'Crowd Member'], ['Edward Force', 'Donut Shop Patron'], ['Michael Le', 'Guy with Phone'], ['Dean Meminger', 'NY1 Reporter'], ['Frederick A. Brown', 'Fred the Janitor'], ['Cristo Fernández', 'Bartender'], ['Clay Savage', 'Suit Voice (voice)'], ['Tom Hardy', 'Eddie Brock / Venom (uncredited)'], ['Jake Gyllenhaal', 'Mysterio / Quentin Beck (archive footage) (uncredited)'], ['Jay Karales', 'Bodega Customer (uncredited)'], ['John Barnes', 'Background Protester']]",93%  8.3 (703k),"Action & Adventure , Science-Fiction , Fantasy",2h 28min,Jon Watts,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
The Good Doctor,/sg/tv-show/the-good-doctor,SHOW,8.1,tt6470478,Netflix,http://www.netflix.com/title/80176893,/poster/148852829/{profile}/the-good-doctor.{format},['fYlZDTru55g'],"[['Freddie Highmore', 'Shaun Murphy'], ['Richard Schiff', 'Aaron Glassman'], ['Hill Harper', 'Marcus Andrews']]",94%  8.1 (91k),Drama,42min,,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues."
Uncoupled,/sg/tv-show/uncoupled,SHOW,7.0,tt15466144,Netflix,http://www.netflix.com/title/81465093,/poster/293939423/{profile}/uncoupled.{format},"['KMT4pVK-uFo', 'NZEwlyPbTt4']","[['Neil Patrick Harris', 'Michael Lawson'], ['Tisha Campbell-Martin', 'Suzanne Prentiss'], ['Emerson Brooks', 'Billy Burns'], ['Brooks Ashmanskas', 'Stanley James']]",77%  7.0 (8k),"Comedy , Drama , Romance",29min,,Michael thought his life was perfect until his husband blindsided him by walking out after 17 years. Michael has to confront two nightmares - losing his soulmate and suddenly finding himself a single gay man in his mid-40s.
The Gray Man,/sg/movie/the-gray-man,MOVIE,6.5,tt1649418,Netflix,http://www.netflix.com/title/81160697,/poster/293794443/{profile}/the-gray-man.{format},"['BmllggGO4pM', 'POLixFkmK9A', 'pfLY_2f44pc', 'Fnsb3VuBms8']","[['Ryan Gosling', 'Six'], ['Chris Evans', 'Lloyd Hansen'], ['Ana de Armas', 'Dani Miranda'], ['Billy Bob Thornton', 'Fitzroy'], ['Jessica Henwick', 'Suzanne Brewer'], ['Dhanush', 'Avik San'], ['Alfre Woodard', 'Margaret Cahill'], ['Regé-Jean Page', 'Carmichael'], ['Wagner Moura', 'Laszlo Sosa'], ['Julia Butters', 'Claire'], ['Shea Whigham', ""Six's Father""], ['Deobia Oparei', 'Dulin'], ['Robert Kazinsky', 'Perini'], ['Daz Crawford', 'Markham'], ['Callan Mulvey', 'Dining Car'], ['Charlit Dae', 'The Buyer'], ['Cameron Crovetti', 'Young Six'], ['Chris Castaldi', 'Dawson'], ['Jeremy Tichy', 'Officer Zelezny'], ['Marian Mitas', 'Ranking Officer'], ['Petr Semerád', 'URNA Captain'], ['Dana Aliya Levinson', 'Lead Hansen Tech'], ['Nadiv Molcho', 'Junior Hansen Tech'], ['Jimmy Jean-Louis', 'Alex Dumas'], ['Adam Bartlett', 'Command Center Tech'], ['Eme Ikwuakor', 'Lead Merc'], ['Patrick Newall', 'C.I.A. Officer'], ['Anthony J. Vorhies', 'C.I.A. Specialist'], ['Quinn R. Somasavachai', 'Young Boy'], ['Siri Schwartzberg', 'Old Woman'], ['Faye Nightingale', 'Young Woman'], ['Alexander Minajev', 'Russian Orthodox Priest'], ['DJ Shy', 'DJ'], ['Angela Russo-Otstot', 'C.I.A. Tech'], ['Kate Blumberg', 'Wendy'], ['Becky Wu', 'Doctor'], ['Maria Darkina', 'Czech Orderly'], ['Justin Walker White', 'Pilot'], ['Kaipo Schwab', 'Co-Pilot'], ['Emanuel Felix', 'Chopper Pilot'], ['Kendall Wells', 'Australian Team Leader'], ['Michael Anthony Rogers', 'Intense Man'], ['Joe Daru', 'Gamer'], ['Oleg Kim', 'Drunken Thai Guy'], ['Irina Aylyarova', 'Czech Doctor'], ['Martin Harris', 'Czech Police Officer'], ['Karel Heřmánek', 'Czech Injured Man'], ['Michelle Twarowska', 'Czech Injured Woman'], ['Michel Carliez', 'Patrol Merc'], ['Grace Russo', 'Teenage Girl #1'], ['Lia Russo', 'Teenage Girl #2'], ['Camille Marquez', 'Elena'], ['Brent McGee', 'Erik Carver'], ['Belén Cusí', 'Hansen Exec'], ['Faouzi Brahimi', 'Machine Gun Merc'], ['Paul Abell', 'C.I.A. Agent #1'], ['Andy Watts', 'C.I.A. Agent #2'], ['Steffen Aaron Dziczek', 'C.I.A. Agent #3'], ['Ian Stone', 'C.I.A. Agent #4'], ['R. Ben Parker', 'Medivac EMT #1'], ['William Barkley', 'Medic'], ['Stepan Radina', 'Funeral Gunner'], ['Joe Russo', 'CIA DDO Fine'], ['Isaac Stephen Montgomery', 'MP #1'], ['Matthew Bellows', 'MP #2'], ['Marc Forget', 'Interrogation Subject'], ['Boone Platt', 'Masked Man'], ['Gee Alexander', 'Goon'], ['Dennis Kunkel', 'CIA Deputy'], ['Steven Sievert', '1995 De-Age Double #1'], ['Gordon Tarpley', '2003 De-Age Double #4'], ['Steffen Oziczek', '2003 De-Age Double #1']]",80%  6.5 (133k),"Action & Adventure , Mystery & Thriller",2h 8min,"Anthony Russo ,  Joe Russo","When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head."
What's Wrong with Secretary Kim,/sg/tv-show/whats-wrong-with-secretary-kim,SHOW,8.1,tt8242904,Netflix,http://www.netflix.com/title/81030241,/poster/64498447/{profile}/whats-wrong-with-secretary-kim.{format},"['V3cTZPkhX-w', 'HgUyBDC2-iw']","[['Park Seo-jun', 'Lee Young-Joon'], ['Park Min-young', 'Kim Mi-So'], ['Lee Tae-hwan', 'Lee Sung-Yeon'], ['Pyo Ye-jin', 'Kim Ji-A'], ['Kim Hye-ok', 'Madame Choi'], ['Kim Byeong-ok', 'CEO Lee'], ['Kang Ki-young', 'Park Yoo-Sik'], ['Hwang Chan-sung', 'Go Gwi-Nam'], ['Lee Yoo-jun', 'Jung Chi-In'], ['Hwang Bo-ra', 'Bong Se-Ra'], ['Lee Jung-min', 'Lee Young-Ok'], ['Kim Jung-Woon', 'Park Joon-Hwan'], ['Hong Ji-yoon', 'Oh Ji-Ran'], ['Kang Hong-suk', 'Yang Cheol'], ['Kim Ye-won', 'Seol Ma-Eum'], ['Jo Deok-hyeon', ""Mi-So's father""], ['Seo Hyo-rim', ""Yoo-Sik's ex-wife""], ['Moon Woo-jin', 'Lee Young-Joon/Lee Sung-Hyun [Young]']]",91%  8.1 (11k),"Drama , Romance , Comedy",1h 9min,"Park Joon-hwa ,  Yoo Jong-sun","Lee Young-Joon's family runs a large company and he works as the vice-president of the company. He is smart, rich and handsome, but he is arrogant. His secretary is Kim Mi-So. She has worked for him for years and she is perfect for him, but Kim Mi-So decides to quit her job."
